Hsue-shen Qian;1911;China;Shanghai Jiao Tong University;scientist;no
Shing-Tung Yau;1949;China;Chinese University of Hong Kong;scientist;no
Johann Radon;1887;Czech Republic;University of Vienna;scientist;no
Georgios Papanikolaou;1883;Greece;National and Kapodistrian University of Athens;scientist;no
Georgios Papanikolaou;1883;Greece;Ludwig Maximilian University of Munich;scientist;no
George Andrew Olah;1927;Hungary;Budapest University of Technology and Economics;scientist;no
Peter David Lax;1926;Hungary;Courant Institute of Mathematical Sciences;scientist;no
Peter David Lax;1926;Hungary;Stuyvesant High School;scientist;no
Humayun Abdulali;1914;Japan;St. Xavier's College, Mumbai;scientist;no
Walther Nernst;1864;Poland;University of Zurich;scientist;no
Walther Nernst;1864;Poland;Humboldt University of Berlin;scientist;no
Joseph Rotblat;1908;Poland;University of Liverpool;scientist;no
Joseph Rotblat;1908;Poland;University of Warsaw;scientist;no
Oskar Klein;1894;Sweden;Norwegian Nobel Institute;scientist;no
Carl-Gustaf Rossby;1898;Sweden;Leipzig University;scientist;no
Jean Piccard;1884;Switzerland;ETH Zurich;scientist;no
Martin Gutzwiller;1925;Switzerland;ETH Zurich;scientist;no
Eugen Bleuler;1857;Switzerland;University of Zurich;scientist;no
Bernard Lovell;1913;United Kingdom;University of Bristol;scientist;no
John Boyd Orr;1880;United Kingdom;University of Glasgow;scientist;no
Alexander R. Todd;1907;United Kingdom;University of Glasgow;scientist;no
Alexander R. Todd;1907;United Kingdom;University of Oxford;scientist;no
Edmund Brisco Ford;1901;United Kingdom;University of Oxford;scientist;no
Elihu Thomson;1853;United Kingdom;Harvard University;scientist;no
Anthony Giddens;1938;United Kingdom;University of Hull;scientist;no
Lewis Fry Richardson;1881;United Kingdom;Durham University;scientist;no
Lewis Fry Richardson;1881;United Kingdom;King's College, Cambridge;scientist;no
Anthony Giddens;1938;United Kingdom;University of Cambridge;scientist;no
James Hopwood Jeans;1877;United Kingdom;University of Cambridge;scientist;no
Lewis Fry Richardson;1881;United Kingdom;Bootham School;scientist;no
Alexander R. Todd;1907;United Kingdom;Goethe University Frankfurt;scientist;no
James Hopwood Jeans;1877;United Kingdom;Merchant Taylors' School, Northwood;scientist;no
John Stewart Bell;1928;United Kingdom;Queen's University Belfast;scientist;no
Peter Mansfield;1933;United Kingdom;Queen Mary University of London;scientist;no
John Robert Vane;1927;United Kingdom;St Catherine's College, Oxford;scientist;no
Charles Algernon Parsons;1854;United Kingdom;Trinity College, Dublin;scientist;no
Frank Press;1924;United States;Columbia University;scientist;no
Lewis Roberts Binford;1931;United States;University of Michigan;scientist;no
Isadore Singer;1924;United States;University of Michigan;scientist;no
Marshall Sahlins;1930;United States;University of Michigan;scientist;no
Dudley R. Herschback;1932;United States;Harvard University;scientist;no
Susan Lindquist;1949;United States;Harvard University;scientist;no
Richard Manning Karp;1935;United States;Harvard University;scientist;no
Joseph Hooton Taylor;1941;United States;Harvard University;scientist;no
Paul Lauterbur;1929;United States;Case Western Reserve University;scientist;no
Robert S. Shankland;1908;United States;Case Western Reserve University;scientist;no
Solomon Kullback;1907;United States;George Washington University;scientist;no
Abraham Sinkov;1907;United States;George Washington University;scientist;no
Charles R Drew;1904;United States;McGill University;scientist;no
Charles Bachman;1924;United States;Michigan State University;scientist;no
Steven Brams;1940;United States;Northwestern University;scientist;no
David Bohm;1917;United States;Pennsylvania State University;scientist;no
Wes Jackson;1936;United States;Kansas Wesleyan University;scientist;no
W. E. B. Du Bois;1868;United States;Fisk University;scientist;no
Joseph Hooton Taylor;1941;United States;Haverford College;scientist;no
Rashid Alievich Sunyaev;1943;Uzbekistan;Moscow Institute of Physics and Technology;scientist;no
John Robert Vane;1927;England;University of Birmingham;scientist;no
John Stewart Bell;1928;Northern Ireland;University of Birmingham;scientist;no
William Ramsey;1852;Scotland;University of Strathclyde;scientist;no
John Robert Vane;1927;Worcestershire;University of Birmingham;scientist;no
Fiona Juliet Stanley;1946;Australia;University of Western Australia;scientist;no
Carlo Rovelli;1956;Italy;University of Padua;scientist;no
Carlo Rovelli;1956;Italy;University of Bologna;scientist;no
Carlo Rovelli;1956;Italy;University of Trento;scientist;no
Torahiko Terada;1878;Japan;University of Tokyo;scientist;no
Joseph Rotblat;1908;Poland;Free Polish University;scientist;no
Gheorghe Marinescu;1863;Romania;University of Bucharest;scientist;no
Martin Gutzwiller;1925;Switzerland;University of Kansas;scientist;no
John Robert Vane;1927;United Kingdom;University of Birmingham;scientist;no
William Ramsey;1852;United Kingdom;University of Strathclyde;scientist;no
John Stewart Bell;1928;United Kingdom;University of Birmingham;scientist;no
Russell Alan Hulse;1950;United States;University of Massachusetts Amherst;scientist;no
